Algorithm, Time Taken (ns), Comparisons, Allocations, Max Recursion Depth
MergeSort with size 0, 0, 0, 0, 0
MergeSort with size 1, 0, 0, 0, 0
MergeSort with size 10, 0, 21, 1, 0
MergeSort with size 50, 1, 236, 1, 2
MergeSort with size 100, 2, 550, 1, 3
MergeSort with size 500, 16, 4247, 1, 5
MergeSort with size 1000, 52, 9521, 1, 6
MergeSort with size 2000, 24, 20913, 1, 7
MergeSort with size 5000, 81, 54953, 1, 9
MergeSort with size 10000, 134, 120068, 1, 10
DeterministicSelect with size 1, 0, 0, 0, 0
DeterministicSelect with size 10, 2, 15, 21, 2
DeterministicSelect with size 50, 9, 119, 135, 3
DeterministicSelect with size 100, 14, 241, 209, 3
DeterministicSelect with size 500, 23, 1496, 1215, 4
DeterministicSelect with size 1000, 28, 3010, 2325, 5
DeterministicSelect with size 2000, 28, 6311, 4805, 5
ClosestPair with size 1, 0, 0, 0, 0
ClosestPair with size 10, 6, 11, 17, 2
ClosestPair with size 50, 30, 67, 101, 5
ClosestPair with size 100, 38, 143, 213, 6
ClosestPair with size 500, 121, 555, 1041, 8
ClosestPair with size 1000, 141, 1122, 2096, 9
ClosestPair with size 2000, 239, 2332, 4282, 10
QuickSort with size 0, 0, 0, 0, 0
QuickSort with size 1, 0, 0, 0, 0
QuickSort with size 10, 1, 20, 7, 3
QuickSort with size 50, 3, 283, 36, 4
QuickSort with size 100, 13, 731, 67, 5
QuickSort with size 500, 25, 4579, 331, 7
QuickSort with size 1000, 19, 11217, 662, 7
QuickSort with size 2000, 51, 25316, 1334, 8
MergeSort with size 0, 0, 0, 0, 0
MergeSort with size 1, 0, 0, 0, 0
MergeSort with size 10, 0, 30, 1, 0
MergeSort with size 50, 1, 247, 1, 2
MergeSort with size 100, 2, 612, 1, 3
MergeSort with size 500, 15, 4307, 1, 5
MergeSort with size 1000, 46, 9567, 1, 6
MergeSort with size 2000, 53, 21195, 1, 7
MergeSort with size 5000, 73, 54900, 1, 9
MergeSort with size 10000, 186, 120049, 1, 10
